0.8333333333333334 60.02 
1.3333333333333333 59.44 
1.8333333333333335 59.63 
2.3333333333333335 59.34 
2.8333333333333335 59.34 
3.3333333333333335 59.19 
3.8333333333333335 58.95 
4.333333333333333 58.61 
4.833333333333333 58.1 
5.333333333333333 58.22 
5.833333333333333 58.32 
6.333333333333333 57.66 
6.833333333333333 57.51 
7.333333333333333 57.39 
7.833333333333333 57.05 
8.333333333333334 56.75 
8.833333333333334 56.65 
9.333333333333334 56.43 
9.833333333333334 56.07 
10.333333333333334 55.8 
10.833333333333334 55.36 
11.333333333333334 55.31 
11.833333333333334 55.29 
12.333333333333334 55.02 
12.833333333333334 54.95 
13.333333333333334 54.6 
13.833333333333334 54.48 
14.333333333333334 54.31 
14.833333333333334 54.14 
15.333333333333334 53.55 
15.833333333333334 53.5 
16.333333333333332 53.48 
